strain	sex	animal_id	age	gait_score
C3H/HeJ	f	00068B20CD	6	3
C3H/HeJ	f	00068af4c4	6	3
C3H/HeJ	f	00068b09e6	6	3
C3H/HeJ	f	00068b143d	6	3
C3H/HeJ	m	00068AFA5C	6	3
C3H/HeJ	m	00068AFAEB	6	3
C3H/HeJ	m	00068AFC84	6	3
C3H/HeJ	m	00068B04AC	6	3
C3H/HeJ	m	00068B076E	6	3
C3H/HeJ	m	00068B0CB9	6	3
C3H/HeJ	m	00068B1B79	6	3
C3H/HeJ	m	00068b0593	6	3
C57BL/10J	f	00068B0F1A	6	2
C57BL/10J	f	00068AF188	6	3
C57BL/10J	f	00068AF8F8	6	3
C57BL/10J	f	00068AFCD5	6	3
C57BL/10J	f	00068B080C	6	3
C57BL/10J	f	00068B1530	6	3
C57BL/10J	f	00068B22E9	6	3
C57BL/10J	f	00068B2B7A	6	3
C57BL/10J	m	00068AF118	6	3
C57BL/10J	m	00068B003C	6	3
C57BL/10J	m	00068B1A3B	6	3
C57BL/10J	m	00068B1C23	6	3
C57BL/10J	m	00068B21B9	6	3
C57BL/10J	m	00068B2611	6	3
C57BL/10J	m	00068B26BC	6	3
C57BL/10J	m	00068B2733	6	3
C57BL/6J	f	00068159b	6	3
C57BL/6J	f	00068AF373	6	3
C57BL/6J	f	00068B0F28	6	3
C57BL/6J	f	00068B2AA4	6	3
C57BL/6J	f	00068b0104	6	3
C57BL/6J	f	00068b053c	6	3
C57BL/6J	f	00068b0eca	6	3
C57BL/6J	f	00068b1762	6	3
C57BL/6J	m	00068AF61C	6	3
C57BL/6J	m	00068b00e5	6	3
C57BL/6J	m	00068b06f9	6	3
C57BL/6J	m	00068b2292	6	3
C57BL/6J	m	00068b2371	6	3
C57BL/6J	m	00068b257c	6	3
C57BL/6J	m	06af0ee	6	3
C57BLKS/J	f	00068AF4FF	6	3
C57BLKS/J	f	00068AFAB3	6	3
C57BLKS/J	f	00068B0352	6	3
C57BLKS/J	f	00068B036F	6	3
C57BLKS/J	f	00068B0D03	6	3
C57BLKS/J	f	00068B0F9C	6	3
C57BLKS/J	f	00068B1881	6	3
C57BLKS/J	f	00068B2071	6	3
C57BLKS/J	m	00068B1DF0	6	2
C57BLKS/J	m	00068AF5E3	6	3
C57BLKS/J	m	00068B0674	6	3
